X,Atten,Time,Date
493.08,-47.975,08:13:05,15/6/2018
515.75,-47.984,08:35:45,15/6/2018
635.72,-48.034,10:35:43,15/6/2018
727.34,-47.96,12:07:20,15/6/2018
770.8,-48.01,12:50:48,15/6/2018
772.7,-47.989,12:52:42,15/6/2018
781.26,-49.323,13:01:16,15/6/2018
782.15,-48.431,13:02:09,15/6/2018
789.95,-52.742,13:09:57,15/6/2018
791.66,-49.472,13:11:40,15/6/2018
801.3,-52.891,13:21:18,15/6/2018
802.42,-56.038,13:22:25,15/6/2018
810.86,-54.997,13:30:52,15/6/2018
811.71,-53.263,13:31:43,15/6/2018
819.25,-52.966,13:39:15,15/6/2018
820.99,-50.24,13:40:59,15/6/2018
830.42,-50.091,13:50:25,15/6/2018
831.31,-49.076,13:51:19,15/6/2018
837.93,-49.224,13:57:56,15/6/2018
839,-51.504,13:59:00,15/6/2018
846.57,-51.727,14:06:34,15/6/2018
849.49,-53.189,14:09:29,15/6/2018
858,-54.215,14:18:00,15/6/2018
858.05,-54.229,14:18:03,15/6/2018
867.53,-54.775,14:27:32,15/6/2018
869.27,-52.198,14:29:16,15/6/2018
873.86,-49.794,14:33:52,15/6/2018
877.76,-51.925,14:37:46,15/6/2018
878.54,-50.248,14:38:32,15/6/2018
879.52,-49.596,14:39:31,15/6/2018
887.03,-48.803,14:47:02,15/6/2018
892.68,-48.481,14:52:41,15/6/2018
898.37,-48.977,14:58:22,15/6/2018
905.02,-50.089,15:05:01,15/6/2018
905.05,-50.092,15:05:03,15/6/2018
913.57,-50.439,15:13:34,15/6/2018
922.09,-50.711,15:22:05,15/6/2018
923.05,-50.984,15:23:03,15/6/2018
934.33,-50.565,15:34:20,15/6/2018
934.36,-50.563,15:34:22,15/6/2018
941.82,-48.853,15:41:49,15/6/2018
944.69,-49.448,15:44:41,15/6/2018
952.19,-48.007,15:52:11,15/6/2018
956.88,-47.961,15:56:53,15/6/2018
1001.28,-48.036,16:41:17,15/6/2018
1061.74,-48.036,17:41:44,15/6/2018
1192.09,-47.962,19:52:05,15/6/2018
1312.06,-48.012,21:52:04,15/6/2018
1421.63,-47.988,23:41:38,15/6/2018
1495.31,-47.988,00:55:19,16/6/2018
1717.3,-48.038,04:37:18,16/6/2018
1859.93,-47.965,06:59:56,16/6/2018
2072.47,-47.916,10:32:28,16/6/2018
2131.04,-47.966,11:31:02,16/6/2018
2134.83,-48.288,11:34:50,16/6/2018
2141.46,-48.486,11:41:28,16/6/2018
2144.33,-49.229,11:44:20,16/6/2018
2152.85,-49.452,11:52:51,16/6/2018
2152.87,-49.451,11:52:52,16/6/2018
2160.4,-49.477,12:00:24,16/6/2018
2166.02,-48.635,12:06:01,16/6/2018
2173.54,-48.536,12:13:32,16/6/2018
2173.58,-48.536,12:13:35,16/6/2018
2284.06,-47.917,14:04:04,16/6/2018
2286.94,-48.866,14:06:56,16/6/2018
2294.51,-48.908,14:14:31,16/6/2018
2296.5,-50.717,14:16:30,16/6/2018
2305.96,-54.772,14:25:58,16/6/2018
2306.17,-54.731,14:26:10,16/6/2018
2314.69,-55.028,14:34:41,16/6/2018
2314.85,-55.007,14:34:51,16/6/2018
2332.8,-58.001,14:52:48,16/6/2018
2334.72,-58.569,14:54:43,16/6/2018
2341.34,-58.695,15:01:20,16/6/2018
2343.31,-60.008,15:03:19,16/6/2018
2350.88,-60.256,15:10:53,16/6/2018
2353.77,-61.222,15:13:46,16/6/2018
2361.36,-61.966,15:21:22,16/6/2018
2363.1,-59.24,15:23:06,16/6/2018
2372.21,-58.957,15:32:13,16/6/2018
2372.53,-58.968,15:32:32,16/6/2018
2380.49,-49.255,15:40:29,16/6/2018
2382.59,-53.046,15:42:35,16/6/2018
2389.86,-48.016,15:49:52,16/6/2018
2390.86,-49.007,15:50:52,16/6/2018
2404.97,-47.967,16:04:58,16/6/2018
2424.81,-48.016,16:24:49,16/6/2018
2452.21,-48.041,16:52:13,16/6/2018
2472.04,-47.992,17:12:02,16/6/2018
2489.99,-47.992,17:29:59,16/6/2018
2506.05,-47.942,17:46:03,16/6/2018
2594.84,-48.017,19:14:50,16/6/2018
2728.98,-48.018,21:28:59,16/6/2018
2881.06,-47.993,00:01:04,17/6/2018
3004.8,-47.969,02:04:48,17/6/2018
3145.55,-48.019,04:25:33,17/6/2018
3240.01,-48.02,06:00:01,17/6/2018
3392.1,-47.995,08:32:06,17/6/2018
3515.84,-48.021,10:35:50,17/6/2018
3593.3,-47.971,11:53:18,17/6/2018
3651.86,-47.922,12:51:52,17/6/2018
3684.92,-47.947,13:24:55,17/6/2018
3685.91,-48.001,13:25:55,17/6/2018
3694.43,-48.963,13:34:26,17/6/2018
3697.32,-50.004,13:37:19,17/6/2018
3714.31,-49.805,13:54:19,17/6/2018
3717.16,-50.004,13:57:10,17/6/2018
3724.69,-49.558,14:04:41,17/6/2018
3725.58,-49.357,14:05:35,17/6/2018
3728.38,-47.997,14:08:23,17/6/2018
3735.96,-48.492,14:15:58,17/6/2018
3742.57,-49.033,14:22:34,17/6/2018
3743.55,-49.062,14:23:33,17/6/2018
3772.83,-49.038,14:52:50,17/6/2018
3778.49,-48.765,14:58:29,17/6/2018
